  0.000     0.000
  1.000     0.000
  0.000     4.000
  1.000     4.000
  0.000     4.500
  0.500     0.000
  0.000     2.
  0.5       2.
  1.        2.
  0.5       4.
  2.        4.
  0.        4.25
  0.5       4.25
  2.        4.25
  1.5       4.5
  3.000     4.500
  3.000     4.000
  3.        4.25
/
  6   1.000    1  6  7  2  8  3
  6   1.000    2  9  8  4 10  3
  6   0.000    3 10 12  4 13  5
  6   0.000    4 11 14 17 18 16
  6   0.000    4 14 13 16 15  5
/          
  16     0.000
  17     0.000
  18     0.000
/

